id,title,rating,date,MPA_rating
A104,"105. Once Upon a Time... in Hollywood",7.6,"2019",R
A105,"106. 300",7.6,"2006",R
A106,"107. Star Wars: Episode I - The Phantom Menace",6.5,"1999",PG
A107,"108. The Big Lebowski",8.1,"1998",R
A108,"109. Logan",8.1,"2017",R
A109,"110. Captain America: Civil War",7.8,"2016",PG-13
A110,"111. Gravity",7.7,"2013",PG-13
A111,"112. The Hangover",7.7,"2009",R
A112,"113. Donnie Darko",8.0,"2001",R
A113,"114. Star Wars: Episode III - Revenge of the Sith",7.6,"2005",PG-13
A114,"115. Ratatouille",8.1,"2007",G
A115,"116. Black Panther",7.3,"2018",PG-13
A116,"117. The Batman",7.8,"2022",PG-13
A117,"118. Prisoners",8.2,"2013",R
A118,"119. Inside Out",8.1,"2015",PG
A119,"120. Black Swan",8.0,"2010",R
A120,"121. Oppenheimer",8.3,"2023",R
A121,"122. Blade Runner",8.1,"1982",R
A122,"123. The Imitation Game",8.0,"2014",PG-13
A123,"124. Thor: Ragnarok",7.9,"2017",PG-13
A124,"125. The Incredibles",8.0,"2004",PG
A125,"126. The Good, the Bad and the Ugly",8.8,"1966",R
A126,"127. I Am Legend",7.2,"2007",PG-13
A127,"128. Doctor Strange",7.5,"2016",PG-13
A128,"129. Gran Torino",8.1,"2008",R
A129,"130. Indiana Jones and the Last Crusade",8.2,"1989",PG-13
A130,"131. How to Train Your Dragon",8.1,"2010",PG
A131,"132. Kill Bill: Vol. 2",8.0,"2004",R
A132,"133. Man of Steel",7.1,"2013",PG-13
A133,"134. City of God",8.6,"2002",R
A134,"135. Full Metal Jacket",8.2,"1987",R
A135,"136. Amélie",8.3,"2001",R
A136,"137. Knives Out",7.9,"2019",PG-13
A137,"138. Arrival",7.9,"2016",PG-13
A138,"139. Sin City",8.0,"2005",R
A139,"140. Aliens",8.4,"1986",R
A140,"141. Pirates of the Caribbean: Dead Man's Chest",7.4,"2006",PG-13
A141,"142. Guardians of the Galaxy Vol. 2",7.6,"2017",PG-13
A142,"143. The Social Network",7.8,"2010",PG-13
A143,"144. Star Wars: Episode II - Attack of the Clones",6.6,"2002",PG
A144,"145. John Wick",7.4,"2014",R
A145,"146. Life Is Beautiful",8.6,"1997",PG-13
A146,"147. Batman v Superman: Dawn of Justice",6.5,"2016",R
A147,"148. Dunkirk",7.8,"2017",PG-13
A148,"149. X-Men: Days of Future Past",7.9,"2014",PG-13
A149,"150. Edge of Tomorrow",7.9,"2014",PG-13
A150,"151. American Psycho",7.6,"2000",R
A151,"152. Shrek",7.9,"2001",PG
A152,"153. 12 Years a Slave",8.1,"2013",R
A153,"154. Top Gun: Maverick",8.2,"2022",PG-13
A154,"155. Silver Linings Playbook",7.7,"2012",R
A155,"156. Spider-Man: Homecoming",7.4,"2017",PG-13
A156,"157. Fargo",8.1,"1996",R
A157,"158. Get Out",7.8,"2017",R
A158,"159. Skyfall",7.8,"2012",PG-13
A159,"160. Heat",8.3,"1995",R
A160,"161. World War Z",7.0,"2013",PG-13
A161,"162. 2001: A Space Odyssey",8.3,"1968",G
A162,"163. Thor: The Dark World",6.7,"2013",PG-13
A163,"164. Psycho",8.5,"1960",R
A164,"165. Kingsman: The Secret Service",7.7,"2014",R
A165,"166. Trainspotting",8.1,"1996",R
A166,"167. Ant-Man",7.2,"2015",PG-13
A167,"168. X-Men: First Class",7.7,"2011",PG-13
A168,"169. The Hunger Games: Catching Fire",7.5,"2013",PG-13
A169,"170. Million Dollar Baby",8.1,"2004",PG-13
A170,"171. Suicide Squad",5.9,"2016",PG-13
A171,"172. Spider-Man 2",7.5,"2004",PG-13
A172,"173. Apocalypse Now",8.4,"1979",R
A173,"174. District 9",7.9,"2009",R
A174,"175. Now You See Me",7.2,"2013",PG-13
A175,"176. Drive",7.8,"2011",R
A176,"177. The Hobbit: The Desolation of Smaug",7.8,"2013",PG-13
A177,"178. The Amazing Spider-Man",6.9,"2012",PG-13
A178,"179. Harry Potter and the Chamber of Secrets",7.4,"2002",PG
A179,"180. Harry Potter and the Prisoner of Azkaban",7.9,"2004",PG
A180,"181. Pan's Labyrinth",8.2,"2006",R
A181,"182. The King's Speech",8.0,"2010",R
A182,"183. Spider-Man: Into the Spider-Verse",8.4,"2018",PG
A183,"184. The Curious Case of Benjamin Button",7.8,"2008",PG-13
A184,"185. 1917",8.2,"2019",R
A185,"186. Wonder Woman",7.3,"2017",PG-13
A186,"187. Pirates of the Caribbean: At World's End",7.1,"2007",PG-13
A187,"188. Casino Royale",8.0,"2006",PG-13
A188,"189. Harry Potter and the Goblet of Fire",7.7,"2005",PG-13
A189,"190. Groundhog Day",8.0,"1993",PG
A190,"191. La La Land",8.0,"2016",PG-13
A191,"192. Rogue One: A Star Wars Story",7.8,"2016",PG-13
A192,"193. Blade Runner 2049",8.0,"2017",R
A193,"194. Deadpool 2",7.6,"2018",R
A194,"195. Jurassic World",6.9,"2015",PG-13
A195,"196. Her",8.0,"2013",R
A196,"197. Transformers",7.1,"2007",PG-13
A197,"198. Home Alone",7.7,"1990",PG
A198,"199. Star Wars: Episode VIII - The Last Jedi",6.9,"2017",PG-13
A199,"200. Jaws",8.1,"1975",PG
A200,"201. Sherlock Holmes",7.6,"2009",PG-13
A201,"202. The Hateful Eight",7.8,"2015",R
A202,"203. Frozen",7.4,"2013",PG
A203,"204. Life of Pi",7.9,"2012",PG
A204,"205. Birdman or (The Unexpected Virtue of Ignorance)",7.7,"2014",R
A205,"206. Ted",6.9,"2012",R
A206,"207. Into the Wild",8.1,"2007",R
A207,"208. Prometheus",7.0,"2012",R
A208,"209. The Bourne Ultimatum",8.0,"2007",PG-13
A209,"210. X-Men",7.3,"2000",PG-13
A210,"211. Oldboy",8.3,"2003",R
A211,"212. There Will Be Blood",8.2,"2007",R
A212,"213. Spider-Man 3",6.3,"2007",PG-13
A213,"214. 12 Monkeys",8.0,"1995",R
A214,"215. Cast Away",7.8,"2000",PG-13
A215,"216. Harry Potter and the Order of the Phoenix",7.5,"2007",PG-13
A216,"217. Superbad",7.6,"2007",R
A217,"218. Rocky",8.1,"1976",PG
A218,"219. Taken",7.7,"2008",PG-13
A219,"220. Argo",7.7,"2012",R
A220,"221. The Matrix Reloaded",7.2,"2003",R
A221,"222. The Notebook",7.8,"2004",PG-13
A222,"223. Baby Driver",7.5,"2017",R
A223,"224. Zombieland",7.5,"2009",R
A224,"225. Ocean's Eleven",7.7,"2001",PG-13
A225,"226. Toy Story 2",7.9,"1999",G
A226,"227. Coco",8.4,"2017",PG
A227,"228. L.A. Confidential",8.2,"1997",R
A228,"229. It",7.3,"2017",R
A229,"230. Men in Black",7.3,"1997",PG-13
A230,"231. Don't Look Up",7.2,"2021",R
A231,"232. Lock, Stock and Two Smoking Barrels",8.1,"1998",R
A232,"233. Captain Marvel",6.8,"2019",PG-13
A233,"234. Nightcrawler",7.8,"2014",R
A234,"235. Star Trek",7.9,"2009",PG-13
A235,"236. Zodiac",7.7,"2007",R
A236,"237. Hacksaw Ridge",8.1,"2016",R
A237,"238. Casablanca",8.5,"1942",PG
A238,"239. Limitless",7.4,"2011",PG-13
A239,"240. Harry Potter and the Deathly Hallows: Part 1",7.7,"2010",PG-13
A240,"241. Independence Day",7.0,"1996",PG-13
A241,"242. Tenet",7.3,"2020",PG-13
A242,"243. A Quiet Place",7.5,"2018",PG-13
A243,"244. Harry Potter and the Half-Blood Prince",7.6,"2009",PG
A244,"245. Green Book",8.2,"2018",PG-13
A245,"246. 21 Jump Street",7.2,"2012",R
A246,"247. Bohemian Rhapsody",7.9,"2018",PG-13
A247,"248. The Great Gatsby",7.2,"2013",PG-13
A248,"249. Shaun of the Dead",7.9,"2004",R
A249,"250. Looper",7.4,"2012",R
A250,"251. Ex Machina",7.7,"2014",R
A251,"252. Kick-Ass",7.6,"2010",R
A252,"253. Despicable Me",7.6,"2010",PG
A253,"254. Blood Diamond",8.0,"2006",R
A254,"255. Minority Report",7.6,"2002",PG-13
A255,"256. Watchmen",7.6,"2009",R
A256,"257. X2: X-Men United",7.4,"2003",PG-13
A257,"258. Dune: Part Two",8.5,"2024",PG-13
A258,"259. Barbie",6.8,"2023",PG-13
A259,"260. Back to the Future Part II",7.8,"1989",PG
A260,"261. I, Robot",7.1,"2004",PG-13
A261,"262. The Hobbit: The Battle of the Five Armies",7.4,"2014",R
A262,"263. The Bourne Identity",7.8,"2002",PG-13
A263,"264. Rise of the Planet of the Apes",7.6,"2011",PG-13
A264,"265. Troy",7.3,"2004",R
A265,"266. Spider-Man: Far from Home",7.4,"2019",PG-13
A266,"267. Crazy, Stupid, Love.",7.4,"2011",PG-13
A267,"268. Casino",8.2,"1995",R
A268,"269. The Pursuit of Happyness",8.0,"2006",PG-13
A269,"270. Monty Python and the Holy Grail",8.2,"1975",PG
A270,"271. Split",7.3,"2016",PG-13
A271,"272. 500 Days of Summer",7.7,"2009",PG-13
A272,"273. Pirates of the Caribbean: On Stranger Tides",6.6,"2011",PG-13
A273,"274. Dead Poets Society",8.1,"1989",PG
A274,"275. The Conjuring",7.5,"2013",R
A275,"276. The Kashmir Files",8.5,"2022",Not Rated
A276,"277. Three Billboards Outside Ebbing, Missouri",8.1,"2017",R
A277,"278. Zootopia",8.0,"2016",PG
A278,"279. Fury",7.6,"2014",R
A279,"280. Everything Everywhere All at Once",7.8,"2022",R
A280,"281. Venom",6.6,"2018",PG-13
A281,"282. Oblivion",7.0,"2013",PG-13
A282,"283. The Perks of Being a Wallflower",7.9,"2012",PG-13
